Name,Storage_details,Screen_size,Camera_details,Battery_details,Processor,Price in Rupees
"Note 8 Pro (Electric blue, 64 GB)",6 GB RAM | 64 GB ROM |,16.59 cm (6.53 inch) Display,64MP Rear Camera,4500 mAh Battery,1 Year,"16,990"
"Note 8 (Cosmic Purple, 128 GB)",6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Display,48MP Rear Camera,4000 mAh Battery,1 year,"15,849"
"Note 8 Pro (Electric Blue, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"16,990"
"Redmi Note 8 (Space Black, 32 GB)",3 GB RAM | 32 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP + 13MP Dual Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"11,405"
"Redmi Note 8 (Neptune Blue, 32 GB)",3 GB RAM | 32 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP + 13MP Dual Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"10,990"
"Redmi Note 8 Pro (Gamma Green, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"16,975"
"Redmi Note 8 Pro (Halo White, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"16,755"
"Redmi Note 8 (Space Black, 128 GB)",6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP + 13MP Dual Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"14,670"
"Redmi Note 8 Pro (Shadow Black, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"15,995"
"Redmi Note 8 Pro (Halo White, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"16,530"
"Redmi Note 8 Pro (Shadow Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"17,277"
"Redmi Note 8 (Neptune Blue, 128 GB)",6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP + 13MP Dual Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"14,327"
"Redmi Note 8 (Moonlight White, 128 GB)",6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP + 13MP Dual Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"13,795"
"Redmi Note 8 (Moonlight White, 64 GB)",4 GB RAM | 64 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP + 13MP Dual Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"12,490"
"Redmi Note 8 Pro (Halo White, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"19,644"
"Redmi Note 8 (Neptune Blue, 64 GB)",4 GB RAM | 64 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP + 13MP Dual Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"11,710"
"Redmi Note 8 (Space Black, 64 GB)",4 GB RAM | 64 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP + 13MP Dual Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"11,790"
"Redmi Note 8 Pro (Gamma Green, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"17,777"
"Redmi Note 8 Pro (Shadow Black, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"19,895"
"Redmi 8 (Emerald Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,"7,999"
"Redmi 8 (Ruby Red, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,"7,999"
"Redmi 8 (Sapphire Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,"7,999"
"Redmi 8 (Onyx Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,"7,999"
"Redmi 8A (Ocean Blue, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,"6,499"
"Redmi Note 7 Pro (Astro Moonlight White, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,"14,999"
"Redmi Note 7 Pro (Astro Moonlight White, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,"10,999"
"Redmi K20 Pro (Flame Red, 128 GB)",6 GB RAM | 128 GB ROM |,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,"25,999"
"Redmi K20 (Glacier Blue, 64 GB)",6 GB RAM | 64 GB ROM |,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 730 Processor,"19,999"
"Redmi K20 Pro (Flame Red, 256 GB)",8 GB RAM | 256 GB ROM |,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,"28,999"
"Redmi K20 (Flame Red, 128 GB)",6 GB RAM | 128 GB ROM |,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 730 Processor,"22,999"
"Redmi K20 (Carbon Black, 128 GB)",6 GB RAM | 128 GB ROM |,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 730 Processor,"22,999"
"Redmi K20 (Glacier Blue, 128 GB)",6 GB RAM | 128 GB ROM |,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 730 Processor,"22,999"
"Redmi K20 Pro (Carbon Black, 256 GB)",8 GB RAM | 256 GB ROM |,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,"28,999"
"Redmi K20 Pro (Carbon Black, 128 GB)",6 GB RAM | 128 GB ROM |,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,"25,999"
"Redmi K20 (Carbon Black, 64 GB)",6 GB RAM | 64 GB ROM |,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 730 Processor,"19,999"
"Redmi K20 Pro (Glacier Blue, 256 GB)",8 GB RAM | 256 GB ROM |,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,"28,999"
"Redmi K20 (Flame Red, 64 GB)",6 GB RAM | 64 GB ROM |,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 730 Processor,"19,999"
"Redmi K20 Pro (Glacier Blue, 128 GB)",6 GB RAM | 128 GB ROM |,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,"25,999"
"Redmi 7A (Matte Gold, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP Rear Camera | 5MP Front Camera,4000 mAh Li-Polymer Battery,Qualcomm Snapdragon 439 Processor,"5,499"
"Redmi 7A (Matte Blue, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP Rear Camera | 5MP Front Camera,4000 mAh Li-Polymer Battery,Qualcomm Snapdragon 439 Processor,"5,499"
"Redmi 7A (Matte Black, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP Rear Camera | 5MP Front Camera,4000 mAh Li-Polymer Battery,Qualcomm Snapdragon 439 Processor,"5,299"
"Redmi 7A (Matte Blue, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP Rear Camera | 5MP Front Camera,4000 mAh Li-Polymer Battery,Qualcomm Snapdragon 439 Processor,"5,299"
"Redmi 7A (Matte Gold, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP Rear Camera | 5MP Front Camera,4000 mAh Li-Polymer Battery,Qualcomm Snapdragon 439 Processor,"5,299"
"Redmi 7A (Matte Black, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP Rear Camera | 5MP Front Camera,4000 mAh Li-Polymer Battery,Qualcomm Snapdragon 439 Processor,"5,499"
"Redmi Note 7 Pro (Neptune Blue, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,"12,999"
"Redmi Note 7 Pro (Space Black, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,"12,999"
"Redmi Note 7 Pro (Nebula Red, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,"12,999"
"Redmi 5 (Lake Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,14.48 cm (5.7 inch) HD Display,12MP Rear Camera | 5MP Front Camera,3300 mAh Battery,1 Year Brand Warranty,"8,370"
"Redmi Y3 (Elegant Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,"10,534"
"Redmi 7 (Lunar Red, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,"8,990"
"Redmi 7 (Eclipse Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,"8,955"
"Redmi 7 (Comet Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,"8,985"
"Mi A2 (Gold, 128 GB)",6 GB RAM | 128 GB ROM |,15.21 cm (5.99 inch) Full HD+ Display,20MP + 12MP | 20MP Front Camera,3010 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,"10,759"
"Mi A2 (Lake Blue, 128 GB)",6 GB RAM | 128 GB ROM |,15.21 cm (5.99 inch) Full HD+ Display,20MP + 12MP | 20MP Front Camera,3010 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,"10,999"
"Redmi Note 7 Pro (Nebula Red, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,"14,999"
"Redmi Note 7 Pro (Space Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,"14,999"
"Redmi Note 7 Pro (Neptune Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,"10,999"
"Redmi Note 7 Pro (Nebula Red, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,"10,999"
"Redmi Note 7 Pro (Space Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,"10,999"
"Redmi Note 7 Pro (Neptune Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,"14,999"
"Redmi Go (Black, 8 GB)",1 GB RAM | 8 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Li Polymer Battery,Qualcomm Snapdragon 425 Processor,"4,299"
"Redmi Note 7 (Onyx Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,12MP + 2MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 660 AIE Processor,"9,950"
"Redmi Note 7 (Sapphire Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,12MP + 2MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 660 AIE Processor,"11,390"
"Redmi Note 7 (Sapphire Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,12MP + 2MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 660 AIE Processor,"10,799"
"Redmi Note 7 (Onyx Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,12MP + 2MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 660 AIE Processor,"9,998"
"Redmi Note 7 (Ruby Red, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,12MP + 2MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 660 AIE Processor,"10,989"
"Redmi 6 Pro (Rose Gold, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inch) Full HD+ Display,12MP + 5MP | 5MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 625 Processor,"9,330"
"Redmi 6 Pro (Rose Gold, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inch) Full HD+ Display,12MP + 5MP | 5MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 625 Processor,"8,995"
"Mi A2 (Black, 128 GB)",6 GB RAM | 128 GB ROM |,15.21 cm (5.99 inch) Full HD+ Display,20MP + 12MP | 20MP Front Camera,3010 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,"12,499"
"Mi A2 (Red, 128 GB)",6 GB RAM | 128 GB ROM |,15.21 cm (5.99 inch) Full HD+ Display,20MP + 12MP | 20MP Front Camera,3010 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,"10,499"
"Redmi Y2 (Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.21 cm (5.99 inch) HD+ Display,12MP + 5MP | 16MP Front Camera,3080 mAh Li Polymer Battery,Qualcomm Snapdragon 625 Processor,"9,990"
"Redmi 6 Pro (Red, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inch) Full HD+ Display,12MP + 5MP | 5MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 625 Processor,"9,468"
"Redmi 6A (Blue, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.84 cm (5.45 inch) HD Display,13MP Rear Camera,3000 mAh Battery,Mediateck Processor,"6,999"
"Redmi Y2 (Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.21 cm (5.99 inch) HD+ Display,12MP + 5MP | 16MP Front Camera,3080 mAh Li Polymer Battery,Qualcomm Snapdragon 625 Processor,"8,999"
"Redmi 6 (Black, 64 GB)",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP + 5MP | 5MP Front Camera,3000 mAh Lithium-polymer Battery,2.0 GHz Mediatek P22 Octacore Processor,"8,490"
"Redmi 6 (Blue, 64 GB)",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP + 5MP | 5MP Front Camera,3000 mAh Lithium-polymer Battery,2.0 GHz Mediatek P22 Octacore Processor,"7,999"
"Redmi 6 (Rose Gold, 64 GB)",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP + 5MP | 5MP Front Camera,3000 mAh Lithium-polymer Battery,2.0 GHz Mediatek P22 Octacore Processor,"8,499"
"Redmi 6 (Gold, 64 GB)",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP + 5MP | 5MP Front Camera,3000 mAh Lithium-polymer Battery,2.0 GHz Mediatek P22 Octacore Processor,"8,499"
"Redmi Note 5 Pro (Red, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 128 GB,15.21 cm (5.99 inch) Full HD+ Display,12MP + 5MP | 20MP Front Camera,4000 mAh Li Polymer Battery,Qualcomm Snapdragon 636 Processor,"13,999"
"Redmi Y2 (Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.21 cm (5.99 inch) HD+ Display,12MP + 5MP | 16MP Front Camera,3080 mAh Li Polymer Battery,Qualcomm Snapdragon 625 Processor,"8,999"
"Redmi 6A (Blue, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.84 cm (5.45 inch) Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery,1 Year Manufacturer Warranty,"5,499"
"Redmi 6A (Black, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.84 cm (5.45 inch) Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery,1 Year Manufacturer Warranty,"5,749"
"Redmi 6 Pro (Black, 64 GB)",4 GB RAM | 64 GB ROM |,14.83 cm (5.84 inch) Display,12MP Rear Camera,4000 mAh Battery,12 months,"9,690"
"Mi A2 (Red, 64 GB)",4 GB RAM | 64 GB ROM |,15.21 cm (5.99 inch) Full HD+ Display,20MP + 12MP | 20MP Front Camera,3010 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,"8,940"
"Redmi 6 (Rose Gold, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP + 5MP | 5MP Front Camera,3000 mAh Lithium-polymer Battery,2.0 GHz Mediatek P22 Octacore Processor,"7,999"
"Mi A2 (Gold, 64 GB)",4 GB RAM | 64 GB ROM |,15.21 cm (5.99 inch) Full HD+ Display,20MP + 12MP | 20MP Front Camera,3010 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,"8,725"
"Mi A2 (Black, 64 GB)",4 GB RAM | 64 GB ROM |,15.21 cm (5.99 inch) Full HD+ Display,20MP + 12MP | 20MP Front Camera,3010 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,"8,999"
"Mi A2 (Blue/Lake Blue, 64 GB)",4 GB RAM | 64 GB ROM |,15.21 cm (5.99 inch) Full HD+ Display,20MP + 12MP | 20MP Front Camera,3010 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,"11,999"
"Redmi 6 (Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP + 5MP | 5MP Front Camera,3000 mAh Lithium-polymer Battery,2.0 GHz Mediatek P22 Octacore Processor,"7,999"
"Redmi 6 (Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP + 5MP | 5MP Front Camera,3000 mAh Lithium-polymer Battery,2.0 GHz Mediatek P22 Octacore Processor,"7,990"
"Redmi Y2 (Rose Gold, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.21 cm (5.99 inch) HD+ Display,12MP + 5MP | 16MP Front Camera,3080 mAh Li Polymer Battery,Qualcomm Snapdragon 625 Processor,"8,999"
"Redmi 6 (Gold, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP + 5MP | 5MP Front Camera,3000 mAh Lithium-polymer Battery,2.0 GHz Mediatek P22 Octacore Processor,"7,999"
"Redmi Note 5 Pro (Red, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,15.21 cm (5.99 inch) Full HD+ Display,12MP + 5MP | 20MP Front Camera,4000 mAh Li Polymer Battery,Qualcomm Snapdragon 636 Processor,"12,999"
"Redmi Y2 (Rose Gold, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.21 cm (5.99 inch) HD+ Display,12MP + 5MP | 16MP Front Camera,3080 mAh Li Polymer Battery,Qualcomm Snapdragon 625 Processor,"10,999"
"Redmi Y2 (Gold, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.21 cm (5.99 inch) HD+ Display,12MP + 5MP | 16MP Front Camera,3080 mAh Li Polymer Battery,Qualcomm Snapdragon 625 Processor,"9,365"
"Redmi Y2 (Dark Grey, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.21 cm (5.99 inch) HD+ Display,12MP + 5MP | 16MP Front Camera,3080 mAh Li Polymer Battery,Qualcomm Snapdragon 625 Processor,"9,290"
"Redmi Y1 (Gold, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 16MP Front Camera,3080 mAh Battery,Qualcomm Snapdragon 435 Processor,"8,490"
"Redmi 5A (Gold, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-polymer Battery,Qualcomm Snapdragon 425 Processor,"5,999"
"Mi Mix 2 (Black, 128 GB)",6 GB RAM | 128 GB ROM |,15.21 cm (5.99 inch) Full HD+ Display,12MP Rear Camera | 5MP Front Camera,3400 mAh Li-polymer Battery,Qualcomm Snapdragon 835 Octa Core 2.5 GHz Processor,"29,999"
"Redmi Note 4 (Gold, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Polymer Battery,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz Processor,"10,999"
"Redmi Note 4 (Dark Grey, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Polymer Battery,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz Processor,"10,999"
"Redmi Note 4 (Gold, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Polymer Battery,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz Processor,"8,999"
"Redmi Note 4 (Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Polymer Battery,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz Processor,"10,999"
